order_month,revenue,profit
2015-01-01,14236.895000,2450.190700
2015-02-01,4519.892000,862.308400
2015-03-01,55691.009000,498.729900
2015-04-01,28295.345000,3488.835200
2015-05-01,23648.287000,2738.709600
2015-06-01,34595.127600,4976.524400
2015-07-01,33946.393000,-841.482600
2015-08-01,27909.468500,5318.105000
2015-09-01,81777.350800,8328.099400
2015-10-01,31453.393000,3448.257300
2015-11-01,78628.716700,9292.126900
2015-12-01,69545.620500,8983.569900
2016-01-01,18174.075600,-3281.007000
2016-02-01,11951.411000,2813.850800
2016-03-01,38726.252000,9732.097800
2016-04-01,34195.208500,4187.496200
2016-05-01,30131.686500,4667.869000
2016-06-01,24797.292000,3335.557200
2016-07-01,28765.325000,3288.648300
2016-08-01,36898.332200,5355.808400
2016-09-01,64595.918000,8209.162700
2016-10-01,31404.923500,2817.366000
2016-11-01,75972.563500,12474.788400
2016-12-01,74919.521200,8016.965900
2017-01-01,18542.491000,2824.823300
2017-02-01,22978.815000,5004.579500
2017-03-01,51715.875000,3611.968000
2017-04-01,38750.039000,2977.814900
2017-05-01,56987.728000,8662.146400
2017-06-01,40344.534000,4750.378100
2017-07-01,39261.963000,4432.877900
2017-08-01,31115.374300,2062.069300
2017-09-01,73410.024900,9328.657600
2017-10-01,59687.745000,16243.142500
2017-11-01,79411.965800,4011.407500
2017-12-01,96999.043000,17885.309300
2018-01-01,43971.374000,7140.439100
2018-02-01,20301.133400,1613.872000
2018-03-01,58872.352800,14751.891500
2018-04-01,36521.536100,933.290000
2018-05-01,44261.110200,6342.582800
2018-06-01,52981.725700,8223.335700
2018-07-01,45264.416000,6952.621200
2018-08-01,63120.888000,9040.955700
2018-09-01,87866.652000,10991.555600
2018-10-01,77776.923200,9275.275500
2018-11-01,118447.825000,9690.103700
2018-12-01,83829.318800,8483.346800
